      1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20
 1    0    6    0    8    1    0    0    0   18    0    0    0    0    0    0    0    0    0    0   15
 2    6    0    0    0    8    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 3    0    0    0    0    0   15    0    0    7    3    0    0    0    0    0    0    0    0    0    0
 4    8    0    0    0    0    0    0    8    0    0    0    0    0    0    0    0    0    0    0    0
 5    1    8    0    0    0    0    7    5    0    0    0    0    0    0    0    0    0    2    0    0
 6    0    2   15    0    0    0    0    0    0    0    5    0    0    6    0    0    0    0    0    0
 7    0    0    0    0    7    0    0    0    0    0    0   18    1    0    0    0    0    0    0    0
 8    0    0    0    8    5    0    0    0    0    0    0    3    0    0    0    0    0    0    0    0
 9   18    0    7    0    0    0    0    0    0   12    0    0    0    0    0    0    0    0   16    0
10    0    0    3    0    0    0    0    0   12    0   15    0    0    0    0   12    0    0    0    0
11    0    0    0    0    0    5    0    0    0   15    0    0    0    9   17    0    0    0    0    0
12    0    0    0    0    0    0   18    3    0    0    0    0    0    0    0    0    5    0    0    0
13    0    0    0    0    0    0    1    0    0    0    9    0    0    0    0    0    7   16    0    0
14    0    0    0    0    0    6    0    0    0    0    0    0    0    0    0    0    0   11    8    0
15    0    0    0    0    0    0    0    0    0    0   17    0    0    0    0   20    0    0    9    0
16    0    0    0    0    0    0    0    0    0   12    0    0    0    0   20    0    0    0    0    0
17    0    0    0    0    0    0    0    0    0    0    0    5    7    0    0    0    0    0    0    9
18    0    0    0    0    2    0    0    0    0    0    0    0   16   11    0    0    0    0    6    4
19    0    0    0    0    0    0    0    0   16    0    0    0    0    8    9    0    0    6    0    5
20   15    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    9    0    5    4
